Acquisizione,Label,Label_norm
12_M_1,0.5589309917343932,14.387763240702666
12_M_2,0.8481550008905185,90.05784832709858
12_M_3,0.8861556052666301,100.0
12_M_4,0.7719454044316078,70.11902421193766
12_M_5,0.7440029015128695,62.808387797080364
13_M_1,0.5039384994897496,0.0
13_M_2,0.7932207574408116,75.68532480069867
13_M_3,0.7095199606696433,53.78656739133545
13_M_4,0.786351219541218,73.88803791956057
13_M_5,0.7713632702317539,69.96671962089361
15_M_1,0.6240723202383862,31.430780813552822
15_M_2,0.7403031518770058,61.840417086208134
15_M_3,0.7856550670843039,73.70590257124874
15_M_4,0.5112101351533962,1.902488285778465
15_M_5,0.7375011624853143,61.10732865313126
1_M_1,0.626037841372806,31.945022877739035
1_M_2,0.6453152389390848,36.9885955684736
1_M_3,0.7489412586170903,64.10041712532909
1_M_4,0.7789642941057048,71.95538620830375
1_M_5,0.7445933815871125,62.96287593100175
7_M_1,0.6318535468314488,33.46659409230358
7_M_2,0.676647931615071,45.18621210693293
7_M_3,0.6902373840461631,48.74163969656702
7_M_4,0.7119830192988512,54.430980891406726
7_M_5,0.7907735280558675,75.04505272811053
8_M_1,0.5866629564843587,21.643316257776185
8_M_2,0.6009348909327568,25.377302579343194
8_M_3,0.5275037666463984,6.165414054075618
8_M_4,0.6613315010925185,41.178952805594
8_M_5,0.5993935570881161,24.97404123354137
